회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
HRS,036640,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도
에스에이엠티,031330,기계장비 및 관련 물품 도매업,"반도체(메모리,비메모리), CPU, TFT-LCD, 네트웍 장비, PC 및 주변기기, 이동통신수탁사업",2000-05-23,12월,박두진,http://www.isamt.com,서울특별시
NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보,솔루션",2000-05-16,12월,신희부,http://www.niceinfo.co.kr,서울특별시
위즈코프,038620,연료 소매업,인터넷 인프라 및 응용,2000-05-04,12월,정승환,http://www.wizit.com,서울특별시
이건홀딩스,039020,제재 및 목재 가공업,창호,2000-05-04,12월,안기명,http://www.eagon.com,인천광역시
파인디지털,038950,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기",2000-05-04,12월,김용훈,http://www.finedigital.com,경기도
나이스정보통신,036800,전기 통신업,카드 VAN사업,2000-05-03,12월,김용국,http://www.nicevan.co.kr,서울특별시
SG&G,040610,기타 운송관련 서비스업,생활정보신문,2000-04-27,12월,이 의 범,http://www.sgng.com,경기도
아이에이,038880,전자부품 제조업,"반도체 및 모듈, 제어기",2000-04-27,12월,"김동진, 이용준, 레이먼김 (공동대표이사)",http://www.ia-inc.kr,서울특별시
에스넷,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",2000-04-27,12월,"유홍준, 장병강",http://www.snetsystems.co.kr,서울특별시
에스엠,041510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",2000-04-27,12월,"이성수, 탁영준",http://smentertainment.com,서울특별시
쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","클라우드,시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)",2000-04-14,12월,박진국,http://www.sicc.co.kr,서울특별시
쎄니트,037760,1차 철강 제조업,스테인레스 냉연강판,2000-04-07,12월,"최재관, 박승배(각자대표)",http://www.cenit.kr,경상남도
대성미생물,036480,의약품 제조업,"동물용 의약품, 미생물제재",2000-04-04,12월,"이동규, 조항원 (각자대표)",http://www.dsmbio.com,경기도
에코플라스틱,038110,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,2000-03-23,12월,한상,http://WWW.AP.CO.KR,경상북도
케이엠더블유,032500,통신 및 방송 장비 제조업,RF 부품 및 중계기,2000-03-21,12월,김덕용,http://www.kmw.co.kr,경기도
화성밸브,039610,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기",2000-03-16,12월,"장원규, 장성필(각자대표)",http://www.hsvalve.co.kr,대구광역시
경남스틸,039240,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등",2000-03-07,12월,최석우,http://www.ksteel.co.kr,경상남도
마크로젠,038290,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,"이수강, 김창훈 (각자 대표이사)",http://www.macrogen.com,서울특별시
희림,037440,"건축기술, 엔지니어링 및 관련 기술 서비스업",설계 및 감리용역,2000-02-03,12월,"정영균, 이목운, 허철호 (각자대표)",http://www.heerim.com,서울특별시
레드캡투어,038390,여행사 및 기타 여행보조 서비스업,"여행알선, 렌터카",2000-02-01,12월,인유성,http://www.redcap.co.kr,서울특별시
솔브레인홀딩스,036830,회사 본부 및 경영 컨설팅 서비스업,"반도체,디스플레이,2차전지 공정용 화학제품",2000-01-18,12월,정현석,http://www.soulbrainholdings.co.kr,경기도
에프에스티,036810,전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통",2000-01-18,12월,장경빈,http://www.fstc.co.kr,경기도
코맥스,036690,통신 및 방송 장비 제조업,"홈네트워크시스템,CCTV 방송설비",2000-01-18,12월,변우석,http://www.commax.com,경기도
EG,037370,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도
감성코퍼레이션,036620,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기",2000-01-11,12월,김호선,http://www.gamsungcorp.co.kr,서울특별시
성도이엔지,037350,"건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조",2000-01-11,12월,"강창열,정영용,이윤영,이언웅,김재진(각자대표)",http://www.sungdokorea.com,서울특별시
제일테크노스,038010,"구조용 금속제품, 탱크 및 증기발생기 제조업",DECK PLATE,2000-01-11,12월,"나주영,최재우",http://www.jeil21c.co.kr,경상북도
무림SP,001810,"펄프, 종이 및 판지 제조업","아트지,CCP지",2000-01-04,12월,이도균,http://www.moorim.co.kr,서울특별시
세종텔레콤,036630,전기 통신업,WLL/GPS/위성DMB/VoIP 단말기,2000-01-04,12월,"김형진, 유기윤(각자대표)",http://www.sejongtelecom.net,서울특별시
심텍홀딩스,036710,통신 및 방송 장비 제조업,반도체용 인쇄회로기판,2000-01-04,12월,박광준,http://www.simmtechholdings.co.kr,충청북도
파세코,037070,가정용 기기 제조업,"창문형에어컨,석유스토브",2000-01-04,12월,유일한,http://www.paseco.co.kr,경기도
SGC이테크건설,016250,건물 건설업,"건축공사, 플랜트설비, 토목공사",1999-12-28,12월,"이복영, 안찬규",http://www.sgcetec.co.kr,서울특별시
영풍정밀,036560,일반 목적용 기계 제조업,"펌프, 밸브, 주물",1999-12-28,12월,"최창규, 이한성(각자대표)",http://www.yppc.co.kr,서울특별시
서희건설,035890,건물 건설업,"토목, 건축, 부동산임대업",1999-12-24,12월,"김팔수, 김원철(각자 대표이사)",http://www.seohee.co.kr,경기도
주성엔지니어링,036930,특수 목적용 기계 제조업,LP CVD,1999-12-24,12월,황철주,http://www.jseng.com,경기도
케이티알파,036030,상품 중개업,"커머스, 콘텐츠, ICT",1999-12-24,12월,정기호,http://www.ktalpha.com,서울특별시
다우데이타,032190,기계장비 및 관련 물품 도매업,"Autodesk 제품군 및 보안, 백신 소프트웨어 등",1999-12-21,12월,성백진(단독 대표),http://www.daoudata.co.kr,서울특별시
동진쎄미켐,005290,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",1999-12-21,12월,"이부섭, 이준혁",http://www.dongjin.com,인천광역시
선광,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",1999-12-21,12월,이도희,http://www.sun-kwang.co.kr,인천광역시
제이에스티나,026040,귀금속 및 장신용품 제조업,"주얼리,가죽제품,손목시계",1999-12-21,12월,"대표이사 김유미, 장호선 각자대표",http://www.jestina.co.kr,서울특별시
